Region;Tissue;Lectin;File;Threshold;H_Score;Total_Pos_Pct;Weak_Pct;Mod_Pct;Strong_Pct;Mean_OD
ALSANCAK;GENEL DOKU;MAL;Image_34875.jpg;0,3;2,73;2,27;1,91;0,26;0,1;0,3761
ALSANCAK;GENEL DOKU;MAL;Image_34874.jpg;0,22;27,51;27,14;26,9;0,12;0,12;0,2488
ALSANCAK;GENEL DOKU;MAL;Image_34874.jpg;0,28;2,37;2,0;1,75;0,12;0,12;0,3757
ALSANCAK;GENEL DOKU;MAL;Image_34874.jpg;0,3;1,27;0,91;0,66;0,12;0,12;0,4813
ALSANCAK;GENEL DOKU;MAL;Image_34889.jpg;0,22;56,89;53,86;50,99;2,7;0,17;0,2734
ALSANCAK;GENEL DOKU;MAL;Image_34889.jpg;0,28;20,87;17,83;14,96;2,7;0,17;0,3254
ALSANCAK;GENEL DOKU;MAL;Image_34889.jpg;0,3;13,68;10,64;7,77;2,7;0,17;0,3497
ALSANCAK;GENEL DOKU;MAL;Image_34876.jpg;0,22;16,98;16,54;16,21;0,22;0,11;0,257
ALSANCAK;GENEL DOKU;MAL;Image_34876.jpg;0,28;2,53;2,09;1,77;0,22;0,11;0,3724
ALSANCAK;GENEL DOKU;MAL;Image_34876.jpg;0,3;1,54;1,1;0,77;0,22;0,11;0,4477
ALSANCAK;GENEL DOKU;MAL;Image_34877.jpg;0,22;9,43;9,13;8,95;0,07;0,12;0,2576
ALSANCAK;GENEL DOKU;MAL;Image_34877.jpg;0,28;1,06;0,76;0,58;0,07;0,12;0,4715
ALSANCAK;GENEL DOKU;MAL;Image_34877.jpg;0,3;0,71;0,41;0,22;0,07;0,12;0,63
ALSANCAK;GENEL DOKU;MAL;Image_34888.jpg;0,22;70,04;58,43;47,46;10,31;0,65;0,3029
ALSANCAK;GENEL DOKU;MAL;Image_34888.jpg;0,28;44,2;32,58;21,62;10,31;0,65;0,3449
ALSANCAK;GENEL DOKU;MAL;Image_34888.jpg;0,3;36,58;24,96;14,0;10,31;0,65;0,3616
ALSANCAK;GENEL DOKU;MAL;Image_34885.jpg;0,22;91,72;74,08;57,35;15,83;0,9;0,3128
ALSANCAK;GENEL DOKU;MAL;Image_34885.jpg;0,28;66,26;48,63;31,9;15,83;0,9;0,3442
ALSANCAK;GENEL DOKU;MAL;Image_34885.jpg;0,3;55,76;38,13;21,4;15,83;0,9;0,3592
ALSANCAK;GENEL DOKU;MAL;Image_34891.jpg;0,22;92,3;71,59;51,8;18,86;0,93;0,3185
ALSANCAK;GENEL DOKU;MAL;Image_34891.jpg;0,28;68,78;48,07;28,29;18,86;0,93;0,3513
ALSANCAK;GENEL DOKU;MAL;Image_34891.jpg;0,3;60,03;39,31;19,53;18,86;0,93;0,3649
ALSANCAK;GENEL DOKU;MAL;Image_34890.jpg;0,22;76,85;59,58;43,16;15,58;0,84;0,3174
ALSANCAK;GENEL DOKU;MAL;Image_34890.jpg;0,28;55,48;38,21;21,79;15,58;0,84;0,3549
ALSANCAK;GENEL DOKU;MAL;Image_34890.jpg;0,3;48,49;31,22;14,8;15,58;0,84;0,3694
ALSANCAK;GENEL DOKU;MAL;Image_34884.jpg;0,22;85,27;61,39;39,54;19,81;2,04;0,3335
ALSANCAK;GENEL DOKU;MAL;Image_34884.jpg;0,28;67,08;43,2;21,35;19,81;2,04;0,3683
ALSANCAK;GENEL DOKU;MAL;Image_34884.jpg;0,3;60,57;36,69;14,84;19,81;2,04;0,3822
ALSANCAK;GENEL DOKU;MAL;Image_34886.jpg;0,22;50,81;47,84;45,1;2,5;0,24;0,2731
ALSANCAK;GENEL DOKU;MAL;Image_34886.jpg;0,28;17,59;14,61;11,88;2,5;0,24;0,3317
ALSANCAK;GENEL DOKU;MAL;Image_34886.jpg;0,3;11,74;8,77;6,04;2,5;0,24;0,3601
ALSANCAK;GENEL DOKU;MAL;Image_34879.jpg;0,22;15,1;14,54;14,1;0,32;0,12;0,2638
ALSANCAK;GENEL DOKU;MAL;Image_34879.jpg;0,28;3,2;2,64;2,2;0,32;0,12;0,3642
ALSANCAK;GENEL DOKU;MAL;Image_34879.jpg;0,3;2,1;1,55;1,11;0,32;0,12;0,4175
ALSANCAK;GENEL DOKU;MAL;Image_34878.jpg;0,22;2,43;2,17;2,03;0,02;0,12;0,3082
ALSANCAK;GENEL DOKU;MAL;Image_34878.jpg;0,28;0,56;0,31;0,17;0,02;0,12;0,7293
ALSANCAK;GENEL DOKU;MAL;Image_34878.jpg;0,3;0,47;0,21;0,08;0,02;0,12;0,9197
ALSANCAK;GENEL DOKU;MAL;Image_34883.jpg;0,22;118,27;80,74;44,57;34,8;1,36;0,3443
ALSANCAK;GENEL DOKU;MAL;Image_34883.jpg;0,28;102,62;65,09;28,93;34,8;1,36;0,3663
ALSANCAK;GENEL DOKU;MAL;Image_34883.jpg;0,3;95,28;57,75;21,58;34,8;1,36;0,376
ALSANCAK;GENEL DOKU;MAL;Image_34868.jpg;0,22;19,14;18,5;18,01;0,35;0,14;0,2578
ALSANCAK;GENEL DOKU;MAL;Image_34868.jpg;0,28;3,03;2,4;1,91;0,35;0,14;0,382
ALSANCAK;GENEL DOKU;MAL;Image_34868.jpg;0,3;2,04;1,41;0,92;0,35;0,14;0,4476
ALSANCAK;GENEL DOKU;MAL;Image_34869.jpg;0,22;10,01;9,22;8,56;0,54;0,12;0,2809
ALSANCAK;GENEL DOKU;MAL;Image_34869.jpg;0,28;3,31;2,52;1,86;0,54;0,12;0,3804
ALSANCAK;GENEL DOKU;MAL;Image_34869.jpg;0,3;2,46;1,67;1,0;0,54;0,12;0,4272
ALSANCAK;GENEL DOKU;MAL;Image_34882.jpg;0,22;6,05;5,83;5,7;0,03;0,1;0,2691
ALSANCAK;GENEL DOKU;MAL;Image_34882.jpg;0,28;1,09;0,86;0,73;0,03;0,1;0,4284
ALSANCAK;GENEL DOKU;MAL;Image_34882.jpg;0,3;0,64;0,42;0,29;0,03;0,1;0,5758
ALSANCAK;GENEL DOKU;MAL;Image_34880.jpg;0,22;8,9;8,04;7,34;0,55;0,16;0,2825
ALSANCAK;GENEL DOKU;MAL;Image_34880.jpg;0,28;3,15;2,29;1,59;0,55;0,16;0,3848
ALSANCAK;GENEL DOKU;MAL;Image_34880.jpg;0,3;2,46;1,6;0,9;0,55;0,16;0,426
ALSANCAK;GENEL DOKU;MAL;Image_34881.jpg;0,22;3,82;3,52;3,33;0,08;0,11;0,2904
ALSANCAK;GENEL DOKU;MAL;Image_34881.jpg;0,28;1,03;0,73;0,54;0,08;0,11;0,4732
ALSANCAK;GENEL DOKU;MAL;Image_34881.jpg;0,3;0,77;0,47;0,29;0,08;0,11;0,573
ALSANCAK;GENEL DOKU;WGA;Image_34913.jpg;0,22;58,78;46,0;35,26;8,68;2,05;0,3122
ALSANCAK;GENEL DOKU;WGA;Image_34913.jpg;0,28;36,81;24,03;13,3;8,68;2,05;0,371
